,Exchange Ticker,"ROA Total Assets, Percent",Return On Equity - Actual,Total Debt,"Total Assets, Reported",Operating Income,TRBC Industry Group Name,TRBC Industry Name,Long Term Debt,Region of Headquarters,regularMarketPrice,preMarketPrice,logo_url
ELC,ELC,4.688590104,,9043875000,24705507000,864821000,Electric Utilities & IPPs,Electric Utilities,8787451000,Americas,,,
ELCO,ELCO,3.226713026,,1110661227,3632882549,192783193.7,Construction & Engineering,Construction & Engineering,725861338.6,Asia,,,
ELD,ELD,2.032702244,4.86,527088000,4930545000,231166000,Metals & Mining,Gold,434465000,Americas,,,
ELLO,ELLO,-1.601362508,,364780166.1,562007816.3,-3247435.271,Electric Utilities & IPPs,Electric Utilities,312701514.4,Asia,,,
ELVT,ELVT,,,8414000,106434000,16947000,Metals & Mining,Gold,5712000,Americas,,,
ELY,ELY,-6.441473398,,687992000,1980600000,-105515000,Leisure Products,Recreational Products,650564000,Americas,,,
EMN,EMN,3.047583435,14.009,5618000000,16083000000,740000000,Chemicals,Commodity Chemicals,5269000000,Americas,,,
EMR,EMR,9.77792718,26.92,6665000000,24715000000,3066000000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,5793000000,Americas,,,
ENB,ENB,2.112338568,8.75,52641005499,126000000000.0,4403770621,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,49347211312,Americas,,,
ENLC,ENLC,-3.528879,-23.3,4593800000,8550900000,50000000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,4244000000,Americas,,,
ENO,ENO,2.747551186,,1179175623,3720848803,180974597,Construction & Engineering,Construction & Engineering,964125549.6,Europe,,,
ENR,ENR,2.997447792,76.84,3452700000,5007500000,154200000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,3291400000,Americas,,,
ENS,ENS,4.239015625,13.67,1004442000,3462797000,216375000,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Electrical Components & Equipment,969618000,Americas,,,
ENTG,ENTG,10.85685808,27.17,1085783000,2917696000,393067000,Semiconductors & Semiconductor Equipment,Semiconductor Equipment & Testing,1085783000,Americas,,,
ENV,ENV,-0.134003214,15.34,756503000,2144290000,19441000,Software & IT Services,Software,756503000,Americas,,,
EOG,EOG,-1.657969443,4.05,5816405000,35804601000,-544016000,Oil & Gas,Oil & Gas Exploration and Production,4854351000,Americas,,,
EPC,EPC,3.243018502,11.05,1260700000,3674600000,146000000,Personal & Household Products & Services,Personal Products,1234200000,Americas,,,
EPZM,EPZM,-51.59291976,-89.8,229846000,473573000,-225416000,Biotechnology & Medical Research,Biotechnology & Medical Research,229846000,Americas,,,
EQNR,EQNR,-4.579332181,2.72,38115000000,122000000000.0,-3423000000,Oil & Gas,Integrated Oil & Gas,29118000000,Europe,,,
EQT,EQT,-5.238924048,-0.53,4925466000,18113469000,-903101000,Oil & Gas,Oil & Gas Exploration and Production,4771305000,Americas,,,
EQTL,EQTL,5.46006926,,2757029931,6581073909,464703647.2,Oil & Gas,Oil & Gas Exploration and Production,2151209082,Asia,,,
ERF,ERF,8.625126535,25.56,3852955545,10473253542,1250122130,Professional & Commercial Services,Business Support Services,3056179775,Europe,,,
ES,ES,2.780640124,9.27,18031109000,46099598000,1988734000,Electric Utilities & IPPs,Electric Utilities,15622788000,Americas,,,
ESGC,ESGC,-57.96489127,2.42,180525000,607656000,-491410000,Media & Publishing,Entertainment Production,61987000,Americas,,,
ESLT,ESLT,2.928321528,,805305000,8057897000,325687000,Aerospace & Defense,Aerospace & Defense,408820000,Asia,,,
ESPR,ESPR,-50.57239235,376.85,179367000,353258000,-121396000,Pharmaceuticals,Pharmaceuticals,179367000,Americas,,,
ESTC,ESTC,-14.56701797,-7.389,0,973172000,-129478000,Software & IT Services,Software,,Europe,,,
ET,ET,0.144242905,-3.21,51440000000,95144000000,2905000000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,51411000000,Americas,,,
ETR,ETR,2.558408581,10.509,24061989000,58239212000,1769195000,Electric Utilities & IPPs,Electric Utilities,21205761000,Americas,,,
ETRN,ETRN,5.152255404,19.42,7230812000,12725852000,799697000,Oil & Gas Related Equipment and Services,Oil & Gas Transportation Services,6928312000,Americas,,,
ETSY,ETSY,17.89628718,60.79,1115815000,2404489000,407154000,Diversified Retail,Department Stores,1062299000,Americas,,,
EVA,EVA,1.408990979,,926049000,1429612000,61778000,Paper & Forest Products,Forest & Wood Products,901946000,Americas,,,
EVBG,EVBG,-10.38748999,-0.1,441514000,960944000,-72660000,Software & IT Services,Software,441514000,Americas,,,
EVH,EVH,-23.54561341,-2.29,289900000,1371700000,-322546000,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology,263343000,Americas,,,
EVR,EVR,9.247184351,68.75,4937000000,8710000000,1671000000,Metals & Mining,Iron & Steel,3759000000,Europe,,,
EVRG,EVRG,2.342029772,8.15,10366400000,27114800000,1143900000,Electric Utilities & IPPs,Electric Utilities,9190900000,Americas,,,
EVRI,EVRI,-5.258817114,,1129253000,1477179000,-12872000,Hotels & Entertainment Services,Casinos & Gaming,1128003000,Americas,,,
EW,EW,11.99836797,26.92,595000000,7237100000,897600000,Healthcare Equipment & Supplies,Advanced Medical Equipment & Technology,595000000,Americas,,,
EXAS,EXAS,-20.12921576,-33.2,1618585000,4925092000,-776019000,Biotechnology & Medical Research,Biotechnology & Medical Research,1343102000,Americas,,,
EXC,EXC,1.541522804,9.72,39333000000,129000000000.0,2823000000,Electric Utilities & IPPs,Electric Utilities,35483000000,Americas,,,
EXCL,EXCL,0.56962963,7.769,2395136681,4825127991,187470441.6,Telecommunications Services,Wireless Telecommunications Services,553606267.8,Asia,,,
EXN,EXN,-24.86400075,,8113000,73279000,-9729000,Metals & Mining,Non-Gold Precious Metals & Minerals,7283000,Americas,,,
EXP,EXP,11.52355958,25.46,1008616000,2838681000,424112000,Construction Materials,Construction Materials,1008616000,Americas,,,
EXPE,EXPE,-13.60394953,-38.22,8216000000,18690000000,-2732000000,Hotels & Entertainment Services,Leisure & Recreation,8216000000,Americas,,,
